iteration,loss_total,loss_per_char,learning_rate
0,598.0300903320312,4.672110080718994,0.0007
100,391.5067443847656,3.0586464405059814,0.0007
200,329.91705322265625,2.577476978302002,0.0007
300,316.623779296875,2.473623275756836,0.0007
400,311.80865478515625,2.436005115509033,0.0007
500,382.5965270996094,2.9890353679656982,0.0007
600,333.05316162109375,2.601977825164795,0.0007
700,314.28167724609375,2.4553256034851074,0.0007
800,375.638427734375,2.9346752166748047,0.0007
900,331.77850341796875,2.592019557952881,0.0007
1000,342.7246398925781,2.6775362491607666,0.0007
1100,331.77886962890625,2.59202241897583,0.0007
1200,350.3066101074219,2.7367703914642334,0.0007
1300,329.21832275390625,2.5720181465148926,0.0007
1400,292.8211975097656,2.287665605545044,0.0007
1500,289.07745361328125,2.2584176063537598,0.0007
1600,349.80364990234375,2.7328410148620605,0.0007
1700,330.1685791015625,2.579442024230957,0.0007
1800,314.2385559082031,2.454988718032837,0.0007
1900,323.754150390625,2.529329299926758,0.0007
2000,336.83843994140625,2.6315503120422363,0.0007
2100,313.68865966796875,2.450692653656006,0.0007
2200,352.6532897949219,2.755103826522827,0.0007
2300,337.0467834472656,2.6331779956817627,0.0007
2400,297.39410400390625,2.3233914375305176,0.0007
2500,321.16412353515625,2.509094715118408,0.0007
2600,301.14019775390625,2.3526577949523926,0.0007
2700,314.4408874511719,2.4565694332122803,0.0007
2800,317.9415283203125,2.4839181900024414,0.0007
2900,362.6726379394531,2.8333799839019775,0.0007
3000,287.89971923828125,2.2492165565490723,0.0007
3100,299.455322265625,2.3394947052001953,0.0007
3200,297.36444091796875,2.323159694671631,0.0007
3300,299.86456298828125,2.3426918983459473,0.0007
3400,311.37750244140625,2.4326367378234863,0.0007
3500,324.9129333496094,2.5383822917938232,0.0007
3600,303.11077880859375,2.3680529594421387,0.0007
3700,300.77227783203125,2.349783420562744,0.0007
3800,286.7285461425781,2.2400667667388916,0.0007
3900,340.9187316894531,2.6634275913238525,0.0007
4000,312.63262939453125,2.4424424171447754,0.0007
4100,290.3205871582031,2.268129587173462,0.0007
4200,279.4995422363281,2.1835901737213135,0.0007
4300,288.75994873046875,2.255937099456787,0.0007
4400,275.4710693359375,2.1521177291870117,0.0007
4500,286.7801513671875,2.2404699325561523,0.0007
4600,306.7906494140625,2.3968019485473633,0.0007
4700,281.2529296875,2.1972885131835938,0.0007
4800,297.78936767578125,2.326479434967041,0.0007
4900,284.27508544921875,2.2208991050720215,0.0007
5000,279.5400390625,2.1839065551757812,0.0007
5100,301.07952880859375,2.3521838188171387,0.0007
5200,315.32794189453125,2.4634995460510254,0.0007
5300,280.693359375,2.1929168701171875,0.0007
5400,286.95947265625,2.241870880126953,0.0007
5500,279.9661865234375,2.1872358322143555,0.0007
5600,260.06646728515625,2.031769275665283,0.0007
5700,280.15667724609375,2.1887240409851074,0.0007
5800,289.0044250488281,2.2578470706939697,0.0007
5900,271.64434814453125,2.1222214698791504,0.0007
6000,248.15480041503906,1.9387093782424927,0.0007
6100,286.4593811035156,2.237963914871216,0.0007
6200,261.99334716796875,2.046823024749756,0.0007
6300,268.29180908203125,2.096029758453369,0.0007
6400,276.3232727050781,2.158775568008423,0.0007
6500,279.0206604003906,2.1798489093780518,0.0007
6600,303.0058288574219,2.3672330379486084,0.0007
6700,302.5735778808594,2.363856077194214,0.0007
6800,256.27520751953125,2.002150058746338,0.0007
6900,252.60159301757812,1.973449945449829,0.0007
7000,265.42169189453125,2.0736069679260254,0.0007
7100,285.8203430175781,2.232971429824829,0.0007
7200,273.32269287109375,2.13533353805542,0.0007
7300,293.6768798828125,2.2943506240844727,0.0007
7400,275.0143737792969,2.148549795150757,0.0007
7500,247.7722625732422,1.9357208013534546,0.0007
7600,253.7866668701172,1.9827083349227905,0.0007
7700,242.87420654296875,1.8974547386169434,0.0007
7800,226.1152801513672,1.7665256261825562,0.0007
